Angle theta,Perpendicular,Parallel,Unpolarised
34.4,11572.92022,11021.90483,11297.41253
34.5,13012.06868,11666.81015,12339.43942
34.6,14071.78101,12053.46185,13062.62143
34.7,14652.38603,12144.75805,13398.57204
34.8,14698.67098,11930.89887,13314.78493
34.9,14204.59047,11429.90948,12817.24998
35,13213.44016,10685.62938,11949.53477
35.1,11813.50985,9763.382722,10788.44629
35.2,10129.64655,8743.753653,9436.7001
35.3,8311.531338,7715.05761,8013.294474
35.4,6519.771603,6765.211444,6642.491524
35.5,4911.103321,5973.751277,5442.427299
35.6,3624.071371,5404.724223,4514.397797
35.7,2766.501638,5101.091148,3933.796393
35.8,2405.903696,5081.131428,3743.517562
35.9,2563.663726,5337.151239,3950.407482
36,3213.530687,5836.582048,4525.056368
36.1,4284.498229,6525.335818,5404.917024
36.2,5667.77778,7333.078122,6500.427951
36.3,7227.182644,8179.908744,7703.545694
36.4,8811.933252,8983.816761,8897.875007
36.5,10270.67834,9668.214289,9969.446315
36.6,11465.42496,10168.85522,10817.14009
36.7,12284.09049,10439.51126,11361.80088
36.8,12650.52946,10455.90094,11553.2152
36.9,12531.13247,10217.53514,11374.33381
37,11937.42161,9747.340336,10842.38097
37.1,10924.44305,9089.127645,10006.78535
37.2,9585.150261,8303.174859,8944.16256
37.3,8041.341324,7460.359186,7750.850255
37.4,6432.0286,6635.406929,6533.717764
37.5,4900.348604,5899.900065,5400.124334
37.6,3580.244437,5315.693038,4447.968738
37.7,2584.161386,4929.345385,3756.753386
37.8,1992.888938,4768.072351,3380.480644
37.9,1848.470449,4837.566728,3343.018589
38,2150.805931,5121.865328,3636.33563
38.1,2858.222232,5585.239927,4221.731079
38.2,3891.911743,6175.903578,5033.907661
38.3,5143.780702,6831.156458,5987.46858
38.4,6486.934723,7483.466262,6985.200492
38.5,7787.791285,8066.898244,7927.344764
38.6,8918.667996,8523.286091,8720.977044
38.7,9769.663739,8807.568496,9288.616117
38.8,10258.72922,8891.803512,9575.266364
38.9,10339.00524,8767.504664,9553.254954
39,10002.77346,8446.106217,9224.439837
39.1,9281.688835,7957.544172,8619.616503
39.2,8243.315808,7347.117319,7795.216564
39.3,6984.336069,6670.952207,6827.644138
39.4,5621.104341,5990.522461,5805.813401
39.5,4278.469569,5366.754946,4822.612258
39.6,3077.93148,4854.285712,3966.108596
39.7,2126.252707,4496.405424,3311.329066
39.8,1505.591135,4321.160029,2913.375582
39.9,1266.062117,4338.955532,2802.508824
40,1421.4014,4541.867752,2981.634576
40.1,1948.100302,4904.69327,3426.396786
40.2,2788.053832,5387.612382,4087.833107
40.3,3854.431366,5940.184519,4897.307943
40.4,5040.179531,6506.27523,5773.227381
40.5,6228.325932,7029.432587,6628.87926
40.6,7303.092358,7458.196815,7380.644587
40.7,8160.761374,7750.842479,7955.801927
40.8,8719.275739,7879.115388,8299.195564
40.9,8925.681517,7830.629691,8378.155604
41,8760.739491,7609.723864,8185.231677
41.1,8240.304598,7236.724241,7738.514419
41.2,7413.382807,6745.716753,7079.54978
41.3,6357.089564,6181.067162,6269.078363
41.4,5169.023825,5593.044102,5381.033963
41.5,3957.809662,5032.977415,4495.393538
41.6,2832.721501,4548.419645,3690.570573
41.7,1893.384572,4178.768705,3036.076638
41.8,1220.522939,3951.756445,2586.139692
41.9,868.6164475,3881.117041,2374.866744
42,861.1366043,3965.630272,2413.383438
42.1,1188.778863,4189.599802,2689.189333
42.2,1810.819669,4524.688713,3167.754191
42.3,2659.428745,4932.907086,3796.167915
42.4,3646.488926,5370.441304,4508.465115
42.5,4672.243441,5791.941578,5232.09251
42.6,5634.925621,6154.849306,5894.887464
42.7,6440.443335,6423.351734,6431.897535
42.8,7011.197056,6571.596556,6791.396806
42.9,7293.204577,6585.87836,6939.541469
43,7260.877187,6465.613833,6863.24551
43.1,6919.024139,6223.042676,6571.033407
43.2,6301.931876,5881.714475,6091.823176
43.3,5469.645401,5473.936321,5471.790861
43.4,4501.844522,5037.451055,4769.647788
43.5,3489.932332,4611.682973,4050.807652
43.6,2528.116151,4233.920796,3381.018474
43.7,1704.347427,3935.80456,2820.075994
43.8,1091.989454,3740.444725,2416.217089
43.9,743.0009042,3660.433059,2201.716982
44,683.2678501,3696.912851,2190.090351
44.1,910.5029075,3839.7703,2375.136604
44.2,1394.87858,4068.899982,2731.889281
44.3,2082.297399,4356.395601,3219.3465
44.4,2899.94955,4669.432431,3784.690991
44.5,3763.593448,4973.547639,4368.570543
